id,title,original_title,description,v_picture,h_picture,premiere_date,rating_avg,rate_imdb,rate_kinopoisk,duration_minutes,age_limit,view_count,genres,actors,directors,countries,categories,favorite_for,need_to_see,trailer_link
125,Тибра,,"Девочка-изгой уверяет всех, что маленькую Катю похитило чудовище. Мистический триллер о подростковом буллинге",images/movies/тибра_вертикаль.webp,images/movies/тибра_горизонталь.webp,2022-01-01,0.0,0.0,6.1,84,18,35,11,"795,791,793,794,792,796,798,799,797",121,2,1,"d4c72276-946f-4776-91f3-afed5d53df48,58ed4fc8-ac3e-48b0-a3d1-f2a08b5156ae,2ac96d6d-0fa8-40c4-bbb6-23f1339d3f1d","de14e808-7cfd-4b90-82f6-624664ed2e4b,d4c72276-946f-4776-91f3-afed5d53df48,c8850036-31f8-4063-8a21-5ee4764ccb8b,b53954b0-4332-4aeb-ab11-fcdcec07c046,9a6b7d04-d8e2-454e-9b5d-65d10a425089,92102d34-2334-422a-949f-6cf87b415b10",https://youtube.com/embed/7ES3eT3sIWg
70,Боудика — королева воинов,Boudica: Rise of the Warrior Queen,"Вождь кельтского клана хочет отдать свою шестнадцатилетнюю дочь Боудику в брак по расчету. Но ее мать делает все возможное, чтобы защитить ее. Она убеждает Боудику бежать из деревни и укрыться в доме, где прошло ее детство. Боудика понимает, что прошлое однажды настигнет ее, и к этому времени она должна превратиться из простой девушки в королеву-воительницу, чтобы защитить всех, кого любит.",images/movies/Боудика_королева_воинов_вертикальная.webp,images/movies/Боудика_королева_воинов_горизонтальная_доработать.webp,2019-01-01,0.0,3.1,4.9,82,18,55,16,"446,448,447,445,444",74,6,1,"d4c72276-946f-4776-91f3-afed5d53df48,5018f760-a526-42ff-bf8e-47d439a48790,4a01ed61-cf28-4ec2-aa18-a97a2462bd74,2ac96d6d-0fa8-40c4-bbb6-23f1339d3f1d","de14e808-7cfd-4b90-82f6-624664ed2e4b,d4c72276-946f-4776-91f3-afed5d53df48,b53954b0-4332-4aeb-ab11-fcdcec07c046,58ed4fc8-ac3e-48b0-a3d1-f2a08b5156ae",www.youtube.com/embed/4QsUtK-d29I
115,Почти как люди,Humains,"Французский профессор-антрополог находит информацию о том, что советский ученый еще до второй мировой войны обнаружил в Альпах череп неандертальца, возрастом не 100000 лет как должно быть, а всего лишь 300 лет! Ученый погиб в горниле войны и об его находке все забыли.
Французский ученый решает отправиться в экспедицию в Альпы чтобы доказать тот факт, что неандертальцы могли дожить до сегодняшних дней. В экспедицию он берет своего сына и свою бывшую студентку. На горной дороге они подбирают семью туристов, путешествующих в этом районе и вскоре попадают в аварию.
Машина, разбив ограждение, срывается в пропасть, профессор погибает, а оставшиеся в живых должны найти выход из ущелья, в которое они попали. Борьба со стихией перерастает в борьбу за выживание, когда заблудившихся героев начинает преследовать нечто или некто...",images/movies/почти_как_люди_вертикаль.webp,images/movies/почти_как_люди_горизонталь.webp,2009-01-01,0.0,3.5,4.3,90,16,45,"11,10,7,6","704,711,708,703,710,709,705,702,707,706","112,113","20,5,19",1,d4c72276-946f-4776-91f3-afed5d53df48,"de14e808-7cfd-4b90-82f6-624664ed2e4b,d4c72276-946f-4776-91f3-afed5d53df48,c8850036-31f8-4063-8a21-5ee4764ccb8b",https://youtube.com/embed/cbHvF-DI0qg
113,Азбука смерти,The ABCs of Death,"Режиссеры из разных стран выбирает себе букву алфавита и слово, начинающееся на эту букву. Вокруг них и должен строиться сюжет каждой истории. Зрители станут свидетелями самых изощренных убийств по алфавиту от A до Z.",images/movies/азбука_смерти_вертикаль.webp,images/movies/азбука_смерти_горизонталь.webp,2012-01-01,0.0,4.7,4.2,129,18,26,"10,1","685,686,687,689,684,688,691,690,683","109,108,110","18,1",1,"d4c72276-946f-4776-91f3-afed5d53df48,58ed4fc8-ac3e-48b0-a3d1-f2a08b5156ae,5018f760-a526-42ff-bf8e-47d439a48790,1b8fd4c0-f30f-4dcd-952b-000431d86e0a","de14e808-7cfd-4b90-82f6-624664ed2e4b,d4c72276-946f-4776-91f3-afed5d53df48,c8850036-31f8-4063-8a21-5ee4764ccb8b",https://youtube.com/embed/jFryS_mxDx0
116,Изображение смерти,Imago mortis,"В начале XVII века, задолго до изобретения фотографии, итальянский учёный Джироламо был одержим идеей точного запечатления момента времени в картинке. Опытным путём Джироламо выяснил, что на сетчатке только что убитого человека отображается последний виденный им перед смертью образ, который после хирургического отделения сетчатки можно перенести на бумагу. Сам Джироламо назвал этот изуверский способ танатографией. Спустя несколько сотен лет в современном европейском институте кинематографии начинают происходить убийства, имеющие подозрительно много общего с танатографическими изысканиями Джироламо.",images/movies/изображение_смерти_вертикаль.webp,images/movies/изображение_смерти_горизонталь.webp,2009-01-01,0.0,4.8,5.5,97,18,27,"12,11,10","717,712,715,719,720,714,721,718,713,716",114,"22,3,21",1,"d4c72276-946f-4776-91f3-afed5d53df48,5018f760-a526-42ff-bf8e-47d439a48790,2ac96d6d-0fa8-40c4-bbb6-23f1339d3f1d","de14e808-7cfd-4b90-82f6-624664ed2e4b,d4c72276-946f-4776-91f3-afed5d53df48,c8850036-31f8-4063-8a21-5ee4764ccb8b,5018f760-a526-42ff-bf8e-47d439a48790",-
17,Кто там,Knock Knock,Архитектор не проходит проверку на верность и будет за это наказан. Триллер режиссера «Хостела» с Киану Ривзом,images/movies/кто_там_вертикаль.webp,images/movies/кто_там_горизонтальная.webp,2014-01-01,0.0,4.9,5.6,100,18,181,11,"117,106,122,119,118,115,121,116,120,124",18,1,1,"d4c72276-946f-4776-91f3-afed5d53df48,b53954b0-4332-4aeb-ab11-fcdcec07c046,92fb7fa2-b4a1-4ccb-a15a-e459a7b4e13c,5b95b64a-f72b-428a-87fe-2a49ac0ba12e","d4c72276-946f-4776-91f3-afed5d53df48,5b95b64a-f72b-428a-87fe-2a49ac0ba12e,58ed4fc8-ac3e-48b0-a3d1-f2a08b5156ae,53cb716d-3187-49ec-bc24-3623390d4c25",https://youtube.com/embed/ExugutRLwfI
124,На краю,The Ledge,Альпинистка спасается от убийц на склоне опасной скалы. Головокружительный триллер от продюсера «Эвереста»,images/movies/на_краю_вертикаль.webp,images/movies/на_краю_горизонталь.webp,2022-01-01,0.0,5.1,6.0,86,18,20,11,"788,785,784,789,790,786,787",120,6,1,"d4c72276-946f-4776-91f3-afed5d53df48,b53954b0-4332-4aeb-ab11-fcdcec07c046",d4c72276-946f-4776-91f3-afed5d53df48,https://youtube.com/embed/67NRMU26em8
15,Покер Фейс,Poker Face,"Покер — опасная игра. И часто от нее зависят человеческие жизни. На одну, казалось бы, дружескую партию Джейк собирает в своем особняке друзей детства, чтобы наконец воздать каждому по заслугам. Но ставки мгновенно возрастают, когда на дом эксцентричного миллиардера нападают неизвестные. Теперь на кону не только богатства, но и жизни.",images/movies/покер_фейс_вертикаль.webp,images/movies/покерфейс_горизонталь.webp,2022-01-01,0.0,5.1,5.5,95,18,256,"13,11,6","99,100,103,102,98,104,97,101",16,1,1,d4c72276-946f-4776-91f3-afed5d53df48,"d4c72276-946f-4776-91f3-afed5d53df48,53cb716d-3187-49ec-bc24-3623390d4c25,124dc59c-3133-45a2-99c6-820543bee419",https://youtube.com/embed/IhV8pKyk4Pc
114,Юленька,,"Андрей Белов переезжает с семьей из столицы в провинциальный город. Ради здоровья любимой он меняет работу университетского преподавателя на место классного руководителя в женской гимназии. Белов быстро понимает — с его классом что-то не так. За круговой порукой молчания скрывается странная и страшная тайна. Эти пятиклассницы не играют в куклы — они играют человеческими жизнями. Сигналом к действию для Андрея станет записка «Спасите нас!», найденная в школьном дневнике.
Постепенно жизнь Белова превращается в кошмар. Все его чувства, эмоции и поступки искажаются под призмой страха. Зло отравляет все его существование, медленно и изощренно отбирает все самое дорогое. И удастся ли ему выбраться из этого кошмара, зависит только от одной маленькой девочки. А она просто хочет, чтобы мама была счастлива.",images/movies/юленька_вертикаль.webp,images/movies/юленька_горизонталь.webp,2008-01-01,0.0,5.1,4.8,102,16,16,"11,10,9","700,697,696,693,701,695,692,694,698,699",111,2,1,"d4c72276-946f-4776-91f3-afed5d53df48,92fb7fa2-b4a1-4ccb-a15a-e459a7b4e13c","d4c72276-946f-4776-91f3-afed5d53df48,92fb7fa2-b4a1-4ccb-a15a-e459a7b4e13c,58ed4fc8-ac3e-48b0-a3d1-f2a08b5156ae",https://youtube.com/embed/hgddmx9vVq8
40,Элвин и бурундуки,Alvin and the Chipmunks,"Жизнь композитора была одной черной полосой до тех пор, пока он не встретил трех живых поющих бурундуков: лидера Элвина, гения Саймона и феерического Теодора. Поначалу они плохо уживаются вместе, но в конце концов Дэйв принимает бурундуков и даже становится менеджером их рок-группы, которая собирает стадионы поклонников.",images/movies/Элвин_и_бурундуки_вертикальная.webp,images/movies/Элвин_и_бурундуки_горизонтальная.webp,2007-12-13,0.0,5.2,6.2,87,6,378,"8,1","294,293,290,296,291,299,292,295,298,297",44,1,1,"d4c72276-946f-4776-91f3-afed5d53df48,2ac96d6d-0fa8-40c4-bbb6-23f1339d3f1d,1b8fd4c0-f30f-4dcd-952b-000431d86e0a,124dc59c-3133-45a2-99c6-820543bee419","d4c72276-946f-4776-91f3-afed5d53df48,c8850036-31f8-4063-8a21-5ee4764ccb8b,92fb7fa2-b4a1-4ccb-a15a-e459a7b4e13c,5b95b64a-f72b-428a-87fe-2a49ac0ba12e,53cb716d-3187-49ec-bc24-3623390d4c25",https://youtube.com/embed/n0PhbTNNB7k
